Lat,Long,geometry
43.6878204,-79.4349365,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6879005,-79.4182358,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6880455,-79.4107132,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6880836,-79.3941422,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6882744,-79.3988342,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.688343,-79.4448395,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6883774,-79.4230804,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6884079,-79.4436951,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6884079,-79.3926468,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6884689,-79.3890915,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6885796,-79.4437637,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6886139,-79.4473724,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6886482,-79.3914948,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.688652,-79.4425659,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6886711,-79.4126663,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6887245,-79.4023361,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6887894,-79.4270706,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6888161,-79.4295197,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6888275,-79.4307098,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6889496,-79.4329987,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6889839,-79.4462662,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6889954,-79.3898849,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6890068,-79.4393768,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6890488,-79.4333496,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6890564,-79.4007111,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6891441,-79.4207306,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6892204,-79.3945999,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6892624,-79.4342194,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6892815,-79.3996048,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6893387,-79.4250565,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6895638,-79.4395523,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6896629,-79.4308243,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6897011,-79.3974915,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6897392,-79.417572,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6897888,-79.4079514,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6899033,-79.4430771,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6899567,-79.4376602,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6899872,-79.4254456,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6900024,-79.3948898,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6902275,-79.4012146,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6902657,-79.4468231,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6902809,-79.4325714,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6903076,-79.3934402,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6903534,-79.39328,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6903992,-79.4048996,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6905365,-79.4445496,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.690609,-79.4399567,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6907349,-79.4446411,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6907845,-79.4030151,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6908188,-79.4375229,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6909523,-79.4145889,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6909752,-79.4378128,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6910973,-79.3964615,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6912651,-79.3951721,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6912804,-79.3955994,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6912956,-79.4216003,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6914864,-79.4403229,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6915741,-79.4437637,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6916237,-79.3934631,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6917458,-79.4087906,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6918259,-79.3977127,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
43.6918907,-79.4105225,"{'name': ""Toronto-St. Paul's"", 'centroid': {'coordinates': [-79.4139873040851, 43.69053009074875], 'type': 'Point'}}"
